Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-25,29.3,28.5,13.3,4.5,8.1,3.0,3.6,3.4,1.8,1.3
2017-05-23,29.8,31.8,12.9,3.0,6.2,2.9,3.5,3.0,1.9,1.9
2017-05-14,31.2,31.2,12.5,3.6,7.8,2.6,3.8,3.9,2.3,1.2
2017-03-28,30.7,29.6,12.2,4.6,8.0,2.7,3.6,4.6,2.2,1.8
2013-08-29,25.1,35.5,13.6,5.0,2.4,3.7,6.5,5.3,1.5,1.4
2013-08-22,25.1,35.7,14.8,3.8,2.9,4.5,5.9,4.8,1.0,1.6
2013-06-21,23.8,38.9,12.4,3.3,1.9,3.2,6.7,2.4,1.4,0.8
2013-06-15,25.3,38.9,14.4,3.6,2.3,3.7,6.4,2.5,1.8,1.1
2013-05-09,27.7,32.2,16.8,4.4,2.4,3.2,7.1,3.0,1.5,1.7
2013-01-06,25.5,40.4,14.8,3.9,3.0,4.5,4.4,1.3,1.0,1.2
2012-08-09,28.3,43.1,12.3,3.5,2.5,2.5,5.2,0.0,1.1,1.5
