Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-28,29.6,22.7,15.9,3.4,10.4,10.1,2.4,1.4,1.3,2.1
2017-05-27,30.4,17.3,12.5,3.4,13.8,12.4,2.7,2.7,1.8,2.9
2016-03-21,33.7,22.2,17.2,3.1,5.2,8.5,5.5,2.6,0.7,1.1
2014-05-23,31.7,24.3,17.7,2.0,5.3,9.3,4.4,3.9,1.2,0.3
2013-12-08,25.9,33.9,15.4,2.7,4.2,9.2,5.8,0.0,0.2,1.5
2013-07-08,23.5,28.7,14.9,3.1,5.4,10.3,6.4,2.1,0.8,2.2
2013-06-14,22.9,30.3,16.8,2.8,4.9,11.1,7.3,1.4,1.6,1.3
2013-05-09,25.0,31.1,12.8,3.2,4.5,11.4,6.3,2.3,0.8,2.5
2013-03-20,26.7,34.8,12.2,4.8,3.0,9.7,5.6,0.0,0.7,2.5
2012-06-21,25.9,31.7,15.8,3.2,5.7,8.6,6.8,0.0,0.7,1.5
2012-03-30,27.7,28.6,15.4,4.2,5.0,10.9,7.0,0.0,0.6,0.6
