Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-22,31.9,25.0,12.2,2.9,14.3,3.4,3.8,2.4,2.0,2.1
2017-05-05,33.0,25.8,12.4,4.0,13.6,4.0,3.3,1.8,1.5,1.2
2013-08-20,29.0,33.7,15.4,4.2,5.3,3.4,3.9,3.0,0.7,1.1
2013-08-16,29.6,33.8,15.0,2.7,5.6,3.8,4.7,2.8,0.9,1.2
2013-06-08,27.3,32.6,20.8,2.0,5.9,3.6,3.8,1.6,1.3,1.0
2013-04-16,27.9,34.3,18.2,3.9,6.4,3.3,4.2,0.1,0.2,1.4
2013-03-09,31.7,30.9,16.4,3.8,5.5,3.6,4.6,1.0,1.2,0.9
2013-02-07,29.5,33.9,19.6,1.7,6.6,2.2,2.7,1.4,0.8,0.5
2012-06-09,31.5,33.2,20.0,3.7,3.9,2.8,3.7,0.2,0.4,0.6
2012-03-01,34.5,30.3,18.2,2.2,4.7,3.4,4.5,0.0,0.3,1.9
