Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-07-19,35.2,12.3,11.2,8.6,15.1,3.4,3.7,3.1,3.0,1.7
2017-06-10,38.8,13.5,13.1,7.2,16.4,2.7,3.3,2.0,1.6,0.9
2017-05-24,38.0,11.5,10.3,8.3,17.2,3.4,5.3,2.1,2.2,0.0
2017-03-07,39.7,10.0,10.6,9.6,14.1,5.0,4.9,2.5,2.1,1.5
2016-12-07,43.2,15.4,15.6,6.3,5.1,3.5,2.7,3.2,1.9,3.1
2016-09-28,42.3,19.1,15.7,5.4,4.1,4.3,2.8,2.4,1.7,2.5
2016-08-07,44.0,17.3,15.5,4.9,5.4,3.0,2.6,2.9,1.3,3.2
2014-12-03,41.4,21.4,13.9,8.3,2.6,3.4,3.0,2.3,1.5,1.9
2014-04-23,35.1,23.1,22.3,5.6,3.2,2.8,3.6,2.4,1.6,0.4
2013-08-31,31.7,21.6,12.1,6.4,3.5,2.9,3.7,3.8,2.3,3.5
2013-08-22,31.1,22.1,11.3,6.7,3.1,2.6,3.8,3.7,1.9,3.8
2013-08-16,32.7,24.6,12.6,7.2,3.0,2.6,4.0,2.6,2.3,3.6
2013-07-06,33.9,21.9,11.7,4.7,2.2,2.1,2.6,1.2,3.2,4.8
2013-06-29,37.5,19.3,10.6,4.5,1.5,2.1,2.2,1.9,4.8,6.3
2013-06-26,45.1,16.9,9.5,4.0,1.7,2.2,2.3,2.4,7.8,8.2
2013-06-09,35.4,22.0,13.4,7.2,3.4,3.1,5.1,4.5,3.0,2.9
2012-08-23,35.6,27.9,15.9,4.5,3.2,3.8,5.1,0.3,1.0,2.7
2012-08-09,38.6,31.5,13.8,4.7,3.8,1.7,2.0,0.8,1.6,1.5
2011-06-18,38.4,22.2,22.7,5.8,2.5,3.1,1.9,0.0,1.3,2.1
2010-03-09,33.5,20.6,25.9,7.4,3.6,2.8,3.0,0.0,0.7,2.5
