Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-27,37.5,13.2,9.5,3.4,22.2,2.9,1.5,2.3,1.4,1.3
2017-05-31,35.9,11.8,7.5,3.6,27.3,2.6,2.0,2.1,1.3,2.5
2017-05-16,39.0,11.1,6.6,4.3,25.6,2.9,2.9,2.5,2.5,2.5
2017-04-07,40.3,11.5,7.4,3.6,25.5,3.5,2.5,2.2,2.0,1.4
2017-01-13,39.8,13.6,7.9,2.6,29.5,2.6,2.3,0.7,0.7,0.4
2013-09-02,40.7,22.5,16.3,5.7,8.7,2.2,2.2,0.1,0.6,0.9
2013-05-29,39.7,25.4,15.4,4.1,7.6,2.4,1.7,1.1,0.8,1.9
2013-03-09,39.3,18.8,16.3,4.2,10.7,2.2,3.7,1.2,0.4,3.3
2012-10-29,37.0,25.2,17.4,4.9,8.7,1.3,1.7,0.4,1.1,2.3
2012-08-09,38.2,21.7,16.4,4.5,8.8,3.5,3.1,0.5,1.4,1.9
2012-05-06,40.2,22.9,16.2,4.4,6.3,3.3,4.1,0.0,0.2,2.5
