Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-07-24,27.6,21.2,14.0,5.6,9.4,6.9,2.9,4.5,3.3,1.7
2017-06-30,24.8,26.7,16.2,5.9,8.2,5.9,5.1,3.4,1.7,1.7
2017-05-26,28.7,24.5,10.1,6.9,12.1,5.9,2.9,3.5,2.9,0.0
2017-02-22,27.8,27.0,12.6,5.6,10.3,5.1,5.0,2.5,2.0,1.9
2016-11-30,35.5,25.2,11.7,4.3,5.4,7.2,4.8,3.0,0.9,2.0
2016-09-13,32.2,27.0,14.2,5.7,4.4,6.2,3.8,2.4,2.1,2.0
2013-10-08,18.9,30.9,11.9,3.6,2.8,5.4,3.9,2.7,1.3,0.9
2013-09-09,20.2,27.1,11.6,4.0,3.4,6.0,3.9,3.2,1.3,1.0
2013-08-28,18.4,26.3,12.1,3.3,2.9,5.4,4.1,3.2,1.2,1.0
2013-08-28,20.6,29.6,13.4,3.7,3.2,6.1,4.6,3.6,1.3,1.0
2013-08-26,21.5,33.0,15.0,4.1,3.2,7.1,4.8,4.5,1.3,0.8
2013-08-17,21.1,32.9,12.5,3.6,3.2,6.8,4.6,4.3,1.6,0.8
2013-08-16,23.1,33.7,12.5,3.5,4.2,7.9,4.6,5.2,1.9,0.3
2013-07-09,23.0,34.1,12.9,3.4,3.4,5.7,5.5,1.2,2.1,1.1
2013-06-26,21.6,36.0,13.8,4.3,3.0,6.0,6.1,1.3,1.4,1.3
2013-06-09,22.7,35.1,14.3,5.2,3.5,6.4,6.4,4.0,1.4,1.1
2013-05-09,26.4,34.0,13.6,4.3,4.1,5.4,6.6,2.3,2.2,1.3
2013-03-27,25.3,38.7,11.8,3.6,3.5,5.9,5.0,2.5,2.4,1.3
2012-08-27,24.7,41.4,11.2,3.0,4.0,5.9,4.7,1.4,2.6,1.1
2012-05-03,30.2,32.1,11.6,4.8,4.0,7.1,6.1,0.0,2.4,1.7
2010-08-13,20.7,32.0,21.0,5.3,3.9,7.4,7.0,0.0,1.5,1.2
