Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-09-03,24.4,23.2,16.4,3.2,14.4,7.8,5.4,2.4,0.7,2.2
2017-07-21,25.9,17.5,17.2,3.5,16.7,7.8,4.3,2.1,1.0,4.0
2017-06-23,25.2,21.7,19.0,2.5,16.4,5.6,5.1,2.4,0.4,1.7
2017-04-05,23.7,17.1,15.6,3.1,21.2,8.2,4.3,2.5,1.4,2.9
2016-10-20,32.4,22.9,18.4,2.5,10.4,6.7,3.0,1.1,0.3,2.3
2016-10-09,29.9,21.4,21.1,2.2,10.1,7.1,4.0,1.9,0.7,1.6
2013-11-03,23.5,35.7,15.0,3.1,7.4,9.7,4.9,0.2,0.2,0.3
2013-08-17,22.3,29.2,16.2,2.5,8.6,8.7,7.2,1.4,0.7,0.5
2013-07-09,22.8,27.9,15.3,2.2,7.4,8.0,6.3,2.0,0.6,0.9
2013-06-24,24.7,31.3,15.7,2.7,7.9,8.7,6.9,0.6,0.8,0.6
2013-06-05,25.1,30.7,16.9,3.4,7.8,9.3,5.2,0.0,0.0,1.6
2013-03-09,23.7,27.9,21.8,2.4,7.3,10.8,3.8,0.0,0.1,2.1
2013-02-07,25.8,27.2,21.3,2.6,8.2,8.8,4.2,0.0,0.8,1.1
2012-10-09,24.4,34.8,17.6,2.4,5.8,8.2,5.2,0.2,0.2,1.2
2012-02-07,25.1,25.1,23.6,2.9,9.3,8.3,4.0,0.0,1.0,0.5
