Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-23,36.3,13.2,8.6,3.8,27.4,4.0,2.7,2.0,0.9,1.1
2017-06-14,33.4,14.7,7.1,3.6,30.0,3.6,2.9,1.4,0.9,2.4
2017-03-09,40.4,12.1,8.9,4.0,24.0,3.9,2.7,2.2,1.2,0.6
2017-02-21,37.9,16.0,6.3,4.7,25.0,3.5,2.4,2.8,0.9,0.7
2016-10-09,42.4,12.1,9.6,5.8,19.1,3.1,5.8,1.3,0.5,0.4
2016-09-09,42.2,11.9,11.5,3.9,19.2,4.0,3.7,2.5,0.9,0.2
2014-12-02,48.2,12.1,11.9,2.9,16.1,2.8,3.3,1.2,0.5,0.9
2013-12-02,35.3,19.8,15.1,5.0,15.4,4.5,3.9,0.0,0.4,0.6
2013-10-29,40.1,16.3,13.9,4.9,14.3,3.2,5.3,0.1,0.5,1.6
2013-09-03,32.7,20.6,10.7,4.9,16.1,4.3,4.5,1.8,0.5,0.6
2013-08-16,33.3,20.2,9.4,4.3,17.0,4.8,5.0,2.3,0.4,0.4
2013-07-09,30.1,15.2,9.9,3.9,12.8,4.2,4.1,1.1,1.0,0.8
2013-06-22,33.3,17.0,11.4,4.3,12.4,4.2,3.8,0.3,0.8,1.2
2013-06-15,36.9,16.9,13.1,5.3,12.0,4.6,4.0,0.0,1.0,2.4
2013-06-09,37.2,15.8,12.0,6.0,12.7,3.5,5.2,0.0,1.0,3.2
2013-06-08,38.7,18.4,13.1,5.3,12.1,3.3,4.5,0.0,1.2,3.4
2013-04-18,36.5,19.4,14.2,5.5,14.3,3.9,4.2,0.0,1.0,1.1
2012-08-09,36.8,18.3,14.4,4.3,12.7,3.7,4.6,0.0,0.9,0.6
2012-08-09,38.3,19.0,15.0,4.5,13.2,3.8,4.8,0.0,0.9,0.7
2012-06-23,39.1,17.2,17.0,3.5,13.4,3.8,4.6,0.0,0.2,1.4
2012-04-21,42.2,10.8,16.7,5.1,17.2,2.9,4.1,0.0,0.5,0.6
2010-03-27,32.5,11.7,25.5,6.5,17.6,3.4,2.4,0.0,0.3,0.0
