Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-12-07,29.3,18.9,10.9,5.7,20.3,4.2,2.9,2.4,2.9,2.4
2017-10-06,31.1,19.4,13.8,4.7,17.7,3.6,3.2,2.3,2.2,2.0
2017-06-21,31.8,16.8,10.8,4.9,19.9,4.1,1.9,2.2,4.9,0.0
2016-09-28,37.7,17.8,12.1,5.4,11.0,4.5,3.3,1.6,4.5,2.1
2016-07-12,37.6,17.6,11.3,5.5,12.9,4.6,2.6,2.4,3.0,2.7
2016-07-07,37.3,19.5,11.6,4.9,12.2,4.1,2.9,2.1,2.9,2.7
2014-10-09,40.8,19.9,15.4,3.7,7.3,3.6,3.1,2.8,2.2,1.2
2013-08-31,25.2,19.0,14.4,4.6,5.1,3.3,3.4,2.1,2.6,2.2
2013-08-22,24.2,19.0,14.1,4.1,4.4,2.8,3.4,2.1,2.4,2.2
2013-08-22,27.6,21.8,16.0,4.7,5.1,3.2,3.8,2.4,2.7,2.4
2013-08-16,25.9,21.5,14.8,4.5,5.1,2.9,2.5,2.5,2.6,1.8
2013-08-13,27.2,23.3,16.7,4.3,5.9,4.0,2.8,2.1,2.4,1.6
2013-07-09,24.6,21.0,14.2,4.9,5.8,3.3,3.2,1.8,2.8,2.3
2013-07-02,23.7,23.7,15.0,5.3,5.7,3.5,3.2,1.0,3.0,2.3
2013-06-28,25.2,23.6,15.0,4.1,6.1,3.3,3.0,1.7,3.2,2.1
2013-06-26,27.6,25.1,16.2,4.3,7.5,3.8,3.5,1.9,3.3,2.1
2013-06-09,31.5,19.7,19.1,5.2,6.5,4.5,4.7,4.0,3.3,1.7
2013-05-09,31.3,22.4,18.4,5.6,7.0,3.3,3.6,4.2,2.4,1.9
2012-08-09,31.1,30.0,16.8,2.7,6.7,3.4,2.4,1.2,4.0,1.7
2011-06-18,33.3,23.5,23.7,3.5,6.0,3.1,3.0,0.0,2.4,1.5
2010-03-09,33.6,18.7,25.2,7.5,8.3,3.5,1.8,0.0,0.8,0.6
