Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-22,36.5,14.3,9.1,3.3,24.1,2.4,2.7,3.3,2.3,0.3
2017-05-16,39.8,11.9,6.3,3.2,25.5,2.6,2.3,2.7,1.3,2.0
2017-04-07,40.7,13.4,6.9,3.3,24.6,2.7,2.1,3.3,1.2,1.8
2017-03-31,40.3,14.1,8.4,2.7,25.6,2.1,2.0,2.7,1.0,1.0
2017-01-27,44.1,16.0,11.2,3.3,15.6,2.7,2.5,1.9,1.2,1.2
2016-11-04,47.2,14.9,10.6,3.2,14.1,3.1,2.0,2.0,1.7,0.3
2016-05-26,41.3,18.1,12.4,3.5,13.7,2.9,2.7,1.9,1.6,1.9
2014-11-24,48.3,17.6,9.6,3.1,11.1,2.5,3.1,2.2,0.0,2.4
2014-05-23,43.1,19.0,9.9,2.9,13.5,2.9,3.9,3.8,0.0,1.0
2013-09-02,30.0,19.7,11.3,3.3,10.1,2.5,2.8,1.5,0.6,1.0
2013-08-31,30.1,18.4,11.6,3.0,10.9,2.5,3.0,2.0,0.7,1.5
2013-08-30,33.5,19.4,11.5,3.2,10.2,2.9,3.1,2.4,0.7,2.3
2013-08-23,36.9,19.9,14.5,2.8,11.0,3.3,2.1,1.9,0.2,2.9
2013-08-03,39.0,20.9,13.0,3.5,10.6,3.7,2.4,0.0,0.8,2.6
2013-07-06,38.8,18.9,16.0,3.2,10.9,3.1,2.4,0.6,0.0,1.7
2013-06-09,38.8,19.1,18.3,3.2,9.4,3.7,4.5,2.3,0.3,0.5
2013-05-29,35.4,26.6,15.2,3.3,9.4,3.6,4.4,1.1,0.8,0.3
2012-10-04,39.8,20.6,15.7,4.0,10.7,2.7,2.8,0.0,0.9,1.9
2012-10-02,42.7,18.2,15.0,4.5,10.6,3.1,3.2,0.0,0.5,1.5
2012-07-09,42.4,26.2,10.9,3.8,8.4,3.1,2.4,0.4,0.6,1.8
2012-06-06,38.7,22.8,14.2,4.6,10.8,2.4,3.7,0.0,1.2,1.4
2012-05-01,44.6,19.0,13.5,3.7,11.5,4.0,2.4,0.0,0.4,0.4
2012-01-06,36.7,24.2,15.9,3.3,9.8,4.1,3.1,0.0,0.5,1.5
2011-11-02,35.9,17.1,20.7,4.3,11.9,3.5,3.9,0.0,0.7,2.0
2010-12-02,43.3,14.5,17.9,5.1,11.9,2.3,2.5,0.0,0.7,2.1
2010-06-18,39.3,16.8,18.8,5.8,10.8,2.8,3.1,0.0,0.7,2.0
