Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-05-05,26.4,12.1,6.8,2.0,31.7,6.5,4.2,1.5,0.8,1.8
2017-04-26,28.7,14.8,7.5,3.0,33.8,5.7,3.7,0.9,0.7,0.2
2017-03-25,28.1,12.7,8.3,2.8,33.6,6.4,4.8,1.6,0.8,1.0
2017-01-26,34.8,12.5,7.3,3.9,27.2,5.4,4.7,2.2,1.1,0.8
2016-10-06,30.0,17.4,11.2,3.3,21.1,7.2,5.6,1.6,0.8,1.5
2013-08-15,27.7,30.0,8.2,4.3,14.1,7.2,5.9,1.0,0.5,0.9
2013-08-15,27.7,30.0,8.2,4.3,14.1,7.2,5.9,1.0,0.5,0.9
2013-05-09,27.4,25.2,8.7,4.2,14.9,8.1,8.1,0.3,0.7,2.3
2013-05-04,27.1,29.0,8.6,3.9,13.9,8.6,6.7,0.8,0.8,0.6
2013-02-09,26.7,26.9,9.7,4.7,14.3,7.9,6.7,0.0,1.3,1.8
2012-03-14,28.9,21.0,12.9,4.7,16.9,6.8,7.2,0.0,0.3,1.3
2012-03-14,28.9,21.0,12.9,4.7,16.9,6.8,7.2,0.0,0.3,1.3
