Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-07-04,34.8,14.0,12.4,5.2,16.6,5.9,2.7,3.2,2.7,2.5
2017-05-22,35.1,13.0,14.2,5.2,16.0,6.7,1.4,3.6,1.7,3.1
2017-02-09,41.3,17.4,13.1,4.0,13.0,4.3,2.6,1.0,2.6,0.5
2017-01-10,42.3,12.9,13.3,5.3,9.0,6.5,4.0,2.2,1.6,2.8
2013-11-23,35.5,24.4,18.0,3.6,5.4,5.9,2.2,0.0,2.0,3.0
2013-09-07,28.5,20.7,15.0,3.2,3.3,5.6,3.7,2.3,1.0,0.9
2013-08-31,28.3,21.9,15.7,3.3,3.7,6.0,3.5,2.7,1.1,1.3
2013-08-30,31.5,24.6,16.4,3.1,4.3,5.6,3.5,3.0,1.3,1.5
2013-08-26,31.3,24.3,15.4,3.3,5.1,6.5,3.6,3.6,1.8,1.8
2013-08-24,32.8,25.0,15.9,3.8,4.4,7.0,2.9,4.0,2.0,2.1
2013-07-09,31.9,24.4,19.1,3.4,4.3,7.6,3.7,2.9,1.0,1.7
2013-06-24,31.0,28.4,21.9,4.6,3.3,6.0,2.1,0.0,0.0,2.7
