Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-10-06,31.5,16.7,17.7,6.3,15.3,2.8,3.4,2.1,3.6,0.6
2017-07-19,29.7,15.3,14.0,8.4,16.9,4.9,2.6,3.0,4.0,1.1
2017-06-16,26.7,15.0,17.5,8.1,15.5,4.0,3.6,3.2,3.7,2.6
2017-02-06,28.4,17.2,14.3,7.6,16.4,4.0,2.3,2.9,3.7,3.1
2017-02-05,29.1,16.0,15.2,7.2,16.4,4.4,2.5,2.8,3.5,2.9
2016-12-07,37.5,16.4,13.3,6.8,9.5,5.0,3.8,2.3,3.7,1.8
2016-09-28,37.6,14.3,17.3,7.1,7.4,4.7,3.6,2.2,3.5,2.1
2016-08-07,37.7,15.2,15.5,5.8,9.2,4.7,3.3,2.6,4.6,1.3
2014-12-03,36.4,20.8,17.9,6.3,4.9,3.4,2.3,3.2,3.1,1.8
2014-04-23,38.9,19.8,16.7,6.4,4.2,2.7,3.2,3.0,3.7,1.4
2013-08-31,26.1,20.9,17.5,5.9,4.6,3.7,3.0,2.7,2.0,2.4
2013-08-24,25.7,22.2,17.5,5.5,4.8,3.6,2.8,2.2,1.7,2.7
2013-08-22,27.5,22.9,16.5,6.4,4.7,3.5,3.3,3.9,3.0,2.5
2013-08-16,27.6,24.6,18.0,7.3,5.0,3.6,3.7,3.3,3.3,2.6
2013-06-29,24.1,21.7,16.5,5.5,4.7,3.0,3.4,1.5,1.8,1.7
2013-06-26,28.3,23.4,19.0,7.2,6.6,3.7,4.7,1.9,2.0,3.1
2013-06-09,28.2,22.5,20.2,7.4,6.4,4.0,4.9,1.5,1.2,3.6
2013-06-09,28.2,22.5,20.2,7.4,6.4,4.0,4.9,1.5,1.2,3.6
2013-03-23,25.0,29.7,20.6,8.0,7.1,2.5,2.5,0.4,2.9,0.9
2013-01-17,29.2,32.5,19.1,6.7,4.5,2.6,2.4,0.8,1.5,0.9
2012-08-23,33.9,28.4,17.5,4.1,4.7,4.0,3.2,0.3,2.2,2.3
2012-08-09,34.8,28.8,17.9,2.4,6.4,2.3,2.5,0.8,2.8,0.9
2011-06-18,30.0,24.4,23.7,5.1,6.7,2.8,2.9,0.0,2.2,2.1
2010-03-09,30.2,20.7,25.3,7.0,7.3,4.5,2.8,0.0,1.9,0.3
