Date,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
2017-06-06,37.1,19.9,11.9,3.7,12.4,5.3,2.5,3.0,2.4,1.9
2017-04-29,39.7,20.3,13.4,3.1,12.6,4.3,1.4,2.1,1.7,1.3
2016-12-02,39.0,21.8,19.0,2.7,4.3,5.2,2.7,2.4,2.1,0.9
2014-06-21,40.0,23.7,17.0,2.5,4.5,4.6,2.2,2.8,0.4,2.5
2013-12-13,34.9,26.7,19.2,2.2,4.3,5.5,3.9,1.8,0.3,1.2
2013-08-19,29.6,27.9,16.8,2.8,4.1,4.8,3.5,2.4,0.9,1.6
2013-08-17,30.2,28.1,18.8,3.8,4.5,5.2,3.6,1.6,1.1,2.2
2013-07-09,33.5,26.6,17.3,2.1,4.7,5.1,5.7,2.2,2.4,0.4
2013-04-20,30.8,31.9,17.4,3.6,3.7,5.1,4.3,0.6,0.8,1.7
2013-03-09,34.9,27.0,16.4,2.6,5.1,4.8,4.8,1.7,1.2,1.5
2013-01-29,30.6,33.0,17.1,3.5,4.3,5.4,3.7,0.2,1.1,1.2
2013-01-06,28.5,33.9,18.7,4.6,3.2,5.6,2.0,0.8,0.4,2.3
2012-06-26,36.4,22.7,23.2,4.1,5.0,4.3,2.6,0.0,1.0,0.7
