Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-05-31;33.0;23.7;14.0;4.3;11.6;4.4;3.4;2.8;1.2;1.6
2017-04-30;32.0;24.0;12.8;4.4;11.2;5.2;3.2;2.6;2.2;2.4
2017-03-31;33.4;23.7;12.3;4.7;11.3;5.1;3.7;2.6;1.5;1.6
2017-02-28;32.8;22.4;14.4;4.4;10.9;4.6;3.9;2.1;2.0;2.5
2017-01-31;33.0;24.6;13.0;5.1;8.6;5.8;3.4;3.1;1.1;2.3
2016-12-31;36.1;24.5;15.2;4.1;6.1;5.1;3.9;2.4;1.5;1.1
2016-11-30;33.8;25.0;16.5;5.0;7.2;4.2;4.1;1.7;1.3;1.1
2016-10-31;37.4;23.5;13.6;4.9;6.6;5.0;4.0;2.5;1.4;1.2
2016-09-30;33.9;26.2;14.1;3.9;7.2;4.2;4.0;3.9;0.9;1.7
2016-08-31;33.7;25.0;16.2;3.7;6.9;4.3;4.5;3.1;1.7;0.9
2016-07-31;34.4;24.2;15.4;4.2;7.1;4.5;3.3;3.0;1.5;2.5
2016-05-31;34.5;21.5;16.6;4.2;7.1;4.8;4.2;2.8;1.8;2.5
2016-04-30;32.1;24.3;15.1;5.1;6.5;5.3;5.3;2.5;2.4;1.3
2016-03-31;32.5;24.9;17.1;3.5;6.0;5.2;4.6;3.2;1.5;1.5
2016-02-29;31.6;24.0;18.6;4.0;6.6;4.8;4.4;2.9;1.5;1.6
2016-01-31;32.4;25.1;18.0;3.0;5.8;5.5;4.2;4.4;1.1;0.4
2015-12-31;29.7;25.0;16.3;4.3;6.5;5.6;5.0;4.3;1.7;1.6
2015-11-30;34.6;22.5;17.3;4.3;5.8;5.4;3.4;4.0;1.8;1.0
2015-10-31;35.5;23.8;13.3;3.9;6.0;5.5;4.2;3.9;1.9;1.9
2015-09-30;40.2;20.3;12.8;3.4;5.8;5.6;5.2;4.2;1.2;1.3
2015-08-31;34.6;23.5;11.3;3.9;7.2;6.2;5.5;4.5;1.8;1.6
2015-07-31;37.4;24.7;12.4;3.6;6.1;4.7;3.6;4.4;1.8;1.4
2015-05-31;41.0;22.0;12.1;3.5;5.1;5.2;4.5;4.3;1.1;1.3
2015-04-30;37.5;22.0;12.1;3.8;6.4;5.8;3.9;5.5;1.4;2.6
2015-03-31;41.5;22.2;11.8;3.8;5.7;4.8;3.7;3.8;1.1;1.8
2015-02-28;40.5;21.9;12.2;3.8;6.6;4.5;4.2;3.6;0.9;1.9
2015-01-31;39.7;21.8;13.5;3.6;6.5;4.7;4.1;3.9;1.3;0.8
2014-12-31;40.4;23.3;12.3;3.3;5.0;5.4;4.4;3.9;1.0;1.2
2014-11-30;42.8;21.5;12.6;3.3;5.4;5.0;3.3;3.7;1.0;1.2
