Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-06-15;32.6;23.1;12;4.1;12.8;5.3;3.5;3.8;1.6;1.3
2017-05-19;29.4;21.8;15.1;4.1;12.1;5.5;2.9;3.1;3.8;2.1
2017-04-19;30.5;25.1;13.1;4.8;11.3;4.2;4.3;2.5;2;2.1
2017-03-16;29.5;26.3;14.3;5.4;9.7;5.5;3.8;2.2;1.5;1.9
2017-02-16;33.5;23.2;14.2;4;9.6;4.4;4;2.6;3.3;1.2
2017-01-18;34;23.3;16.3;3.6;8.3;5.6;3.7;2.7;2;0.6
2016-12-07;35.8;24.7;13.4;4.3;6.4;5.2;4.1;2.4;2.4;1.3
2016-11-09;36;24.9;9.9;4.2;7.8;5.5;4.5;3.3;2.4;1.5
2016-10-12;36.8;26;12.9;3.7;6.6;3.7;4.5;1.9;2.3;1.5
2016-09-14;37.5;24.2;11.4;3.3;6.7;6;4.4;3.3;2;1.1
2016-08-11;36.4;25.4;14.5;2.6;6.4;5;4.6;2.4;1.7;1
2016-06-15;35.3;24.4;14.5;4.4;5.4;5.2;3.5;3.2;2.6;1.5
2016-05-18;31.3;25.4;14.5;3.4;6.2;6.4;3.9;4.2;2.5;2.2
2016-04-20;32.7;26.1;16.2;4.6;6.4;5.5;3.3;2.4;0.9;1.9
2016-03-16;33.1;26.6;16.4;3.6;5.4;3.9;4.5;3.7;1.7;1.3
2016-02-17;32;24;17.4;4.8;5.1;6.2;4.2;2.7;2.5;1.1
2016-01-20;32.2;25.3;17.5;4.1;5.4;4.2;4.1;4.3;2.5;0.4
2015-12-09;35.4;21.6;18.3;3.3;6;4.4;3.3;3.8;1.9;1.9
2015-11-11;33.1;24.7;15.3;3.6;6.7;4.2;4.2;4.5;1.5;2.2
2015-10-08;36.2;22.7;11;3;6.4;6.9;5.6;4.8;1.8;1.5
2015-08-19;37.6;21.7;12.8;3.5;6.2;5.2;4.8;4.7;1.4;2.2
2015-06-17;41.1;22.8;9.6;3.3;5.2;5.6;3.8;6.5;1;1.3
2015-05-14;38.6;24.2;12.2;3.1;6;4.7;3.6;5;2;0.6
2015-04-22;40.4;21.8;11.3;3.1;6.1;7.1;4.6;4.4;0.5;0.6
2015-03-18;43.4;23.5;9.8;2.6;4.1;5.9;3.4;4.4;1.6;1.2
2015-02-19;42.8;21.4;10;4;6.4;4.9;4.5;3.1;2.4;0.6
2015-01-21;40.6;22.9;11.9;3.5;5.3;5.6;4.7;3.5;1.4;0.7
2014-12-10;41.8;22.3;10.2;3.5;5.6;5.6;5;4.2;1.1;0.6
2014-11-13;42.2;22;11.4;3.8;5.2;5.9;3.9;3.5;1.3;0.9
2014-10-16;39;25.9;13.8;2.7;4.6;4.4;4.5;3;0.6;1.4
2014-09-17;34.8;27.5;14.3;3.4;3.8;5;5;4.1;1.4;0.8
2014-08-21;36.6;27.1;13.4;2.5;5.1;4.7;4.7;4.2;0.8;1.8
2014-06-19;36.1;25.3;14.2;3.4;5.3;5.5;4.8;3.6;1.4;0.4
2014-05-22;32.7;26.9;15.1;3.9;4.8;5.7;5.4;3.3;1.9;0.4
2014-04-23;34.5;27.5;13.8;3.1;4.7;5.2;5.3;4;1;0.8
2014-03-20;35.7;26.6;14.9;3.9;4.7;4.7;5;2.5;1.1;1
