Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-06-20;32.2;22.3;13.7;3.5;14.5;4.5;2.8;2.1;2.6;1.9
2017-05-11;33.1;23.6;11.6;4.4;15;3.7;2.8;2.1;1.7;1.6
2017-04-06;28.9;24.2;12.1;4.7;15.8;3.9;3.2;3.1;1.7;1.9
2017-03-09;32.5;23.7;13.2;4.7;11.1;5.4;3.6;2.1;2.5;1.4
2017-02-08;33.2;22.1;15.7;3.9;9.9;3.8;3.9;3.8;2;1.6
2017-01-10;32.7;24.5;13.6;4.7;8.4;5.3;4.9;1.9;2.6;1.4
2016-12-05;37.2;23;13.3;3.9;6;4.3;4;4.5;1.7;2.1
2016-11-01;38;23.7;11.9;5.7;5.3;4.8;3.6;3.1;2.3;1.5
2016-10-03;34.9;27.1;12.8;4.2;6;4.7;4.3;2.4;1.9;1.9
2016-09-05;33.6;26.9;14.8;4.2;7.4;3.7;4.9;2.1;1.9;0.7
2016-08-08;34;27.1;13.2;4.4;6.1;4.6;3.8;3.4;1.8;1.6
2016-07-04;32.2;24.9;14.9;4.7;7;5.1;4.5;2.6;2.9;1.1
2016-06-06;34.9;23.9;14.7;4.5;5.9;4.1;4.8;4.1;2.2;0.7
2016-05-02;35.9;25.1;15.6;2.6;6.3;4.6;3.8;3;1.8;1.4
2016-04-05;35.8;24.5;16.5;4.4;6.2;3.9;3.5;3;1.4;0.8
2016-03-01;33.6;24.8;15.8;4;6.1;4.7;4.4;3.2;2;1.5
2016-02-01;33.4;25;14.2;3.1;5.8;6.3;4.9;3.8;2.4;1.2
2016-01-11;33.5;24.2;15.7;3.9;5.3;5.4;5.2;3.5;2.2;1
2015-12-01;34.2;22.5;15.6;3.9;6.6;5.2;5.2;3.9;2.1;1.2
2015-11-02;37.9;23.7;12.5;3.8;6.3;5.3;3.7;3.4;2.1;1.3
2015-10-05;37.9;23.5;9.5;5;5.8;5.9;5.1;4;2.1;1.6
2015-08-27;36.3;24.9;11.6;4.8;5.9;3.1;5.4;5;1.6;1.4
2015-08-10;37.4;24.4;11.7;3.4;5.5;5;4.6;4.9;1.8;1.4
2015-07-10;38.8;22.8;11;4.1;4.6;4.6;5.7;5;1.5;1.7
2015-06-05;37.9;23.5;11.7;4.2;5.7;5.1;5.3;4.1;1.4;1.1
2015-05-04;35;26.5;11.1;4.7;6.5;5.2;5.1;3.3;1.7;1
2015-04-13;39.6;22.6;8.6;5.1;4.7;5.4;6.5;4.1;2;0
2015-03-02;38.8;25;10.7;4.8;5.8;5;4.3;3;2;0.7
2015-02-02;42.3;20.3;10.6;4.1;6;5.8;4.9;3.5;1.5;1
2015-01-12;42.8;20.9;10.5;3.2;7;4.7;5.7;3.2;1.2;0.8
2014-12-01;40.7;23.9;10;4.7;4.1;4.1;4.8;4.4;2.1;1.2
2014-11-03;39.8;23.4;9.5;4.4;5.4;5.4;4.9;3.6;2;1.4
2014-10-06;36.5;25.3;13.8;4.7;4.2;3.7;5.2;4.5;1.6;0.6
2014-09-01;34.1;26.7;12.3;4.3;5.3;4.9;6;4.1;1.1;1.1
2014-08-12;33.7;26.6;12.6;4;4.9;6.2;5;4.1;1.8;0.8
2014-07-01;37.6;27.6;10;3.4;5;4.6;5.2;3.3;2;1.4
2014-06-02;34.4;26.1;11.7;4.5;6.1;4.6;6.5;3.1;1.7;1.3
