Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-07-19;35.8;12.4;11.2;9.2;15.4;3.6;3.9;3.4;3.4;1.9
2016-12-07;43.2;15.4;15.6;6.3;5.1;3.5;2.7;3.2;1.9;3.1
2016-09-28;42.2;19.2;15.7;5.4;4;4.4;2.8;2.4;1.7;2.4
2016-08-07;44;17.3;15.5;4.9;5.4;3;2.6;2.9;1.3;3.2
2014-04-23;35.1;23.1;22.3;5.6;3.2;2.8;3.6;2.4;1.6;0.4
2014-12-03;41.4;21.4;13.9;8.3;2.6;3.4;3;2.3;1.5;1.9
2013-06-09;35.4;22;13.4;7.2;3.4;3.1;5.1;4.5;3;2.9
2013-08-31;34.5;22.9;13.9;6.7;4.2;3.4;3.9;4.1;3;3.4
2013-08-22;35.1;23.5;12.1;7;3.6;2.9;4.1;4.8;2;4.8
2013-08-16;33.6;25.9;13.1;8;3.3;2.8;4.5;3.1;2.3;3.5
2013-06-29;35.5;26.9;14.7;6.5;2;2.7;3.1;2.3;1.8;4.5
2013-06-26;49.2;14.7;7.8;2.7;1;1.8;1.1;1.5;9.8;10.4
2012-08-23;34.2;26.1;16.9;4.4;2.9;4.8;6.6;0;0.7;3.3
