Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-06-30;24.2;27.1;17.2;5.7;7.5;5.9;5.5;3.4;1.5;2.0
2017-02-22;27.8;27.0;12.6;5.6;10.3;5.1;5.0;2.5;2.0;1.9
2016-09-13;32.2;27.0;14.2;5.7;4.4;6.2;3.8;2.4;2.1;2.0
2013-06-09;21.9;35.4;14.4;5.4;3.3;6.6;6.3;4.4;1.2;1.1
2013-08-28;23.3;33.2;15.3;3.7;4.6;7.3;5.9;3.5;2.0;1.2
2013-08-16;23.5;34.4;12.7;3.7;4.4;8.5;4.6;6.1;1.9;0.2
2013-03-27;25.3;38.7;11.8;3.6;3.5;5.9;5.0;2.5;2.4;1.3
2012-08-27;24.7;41.4;11.2;3.0;4.0;5.9;4.7;1.4;2.6;1.1
2012-05-03;30.2;32.1;11.6;4.8;4.0;7.1;6.1;0.0;2.4;1.7
2010-08-13;20.7;32.0;21.0;5.3;3.9;7.4;7.0;0.0;1.5;1.2
