Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-06-14;33.4;14.7;7.1;3.6;30;3.6;2.9;1.4;0.9;2.4
2017-02-21;37.9;16;6.3;4.7;25;3.5;2.4;2.8;0.9;0.7
2016-10-09;42.4;12.1;9.2;6.2;19.1;2.9;6.3;1;0.4;0.5
2014-12-02;48.2;12.1;11.9;2.9;16.1;2.8;3.3;1.2;0.5;0.9
2013-10-29;40.5;16;14;4.9;14.2;3.1;5.3;0;0.5;1.6
2013-06-09;38;14.5;11.9;7.1;14.2;4;6.2;0;0.8;3.1
2013-06-08;38.9;18.3;13;5.3;11.9;3.3;4.5;0;1.2;3.6
2013-06-15;38;19.3;15.1;4.5;11.5;6.2;2.5;0;1;1.2
2013-04-18;36.5;19.4;14.2;5.5;14.3;3.9;4.2;0;1;1.1
2013-12-02;34.4;20.5;15.3;5;15.6;4.8;3.6;0;0.4;0.4
2012-08-09;36.3;18.3;17.4;5.2;13.6;3.7;4.2;0;0.6;0.8
2012-06-23;39.1;17.2;17;3.5;13.4;3.8;4.6;0;0.2;1.4
2012-04-21;42.2;10.8;16.7;5.1;17.2;2.9;4.1;0;0.5;0.6
2010-03-27;32.5;11.7;25.5;6.5;17.6;3.4;2.4;0;0.3;0
