Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-06-16;26.7;15.0;17.5;8.1;15.5;4.0;3.6;3.2;3.7;2.6
2017-02-06;28.2;18.3;13.3;8.0;16.1;3.7;2.3;2.9;3.9;3.3
2017-02-05;28.7;16.0;15.3;7.2;16.7;4.4;2.4;2.8;3.5;2.9
2016-09-28;37.6;14.2;17.4;7.2;7.3;4.7;3.6;2.2;3.4;2.2
2014-04-23;38.9;19.8;16.7;6.4;4.2;2.7;3.2;3.0;3.7;1.4
2014-12-03;36.4;20.8;17.9;6.3;4.9;3.4;2.3;3.2;3.1;1.8
2013-06-09;29.6;21.9;17.8;8.6;6.6;3.3;4.8;3.0;2.3;2.1
2013-08-31;29.9;21.2;19.3;7.4;4.8;4.2;3.8;4.3;3.1;2.1
2013-08-22;30.3;24.1;17.2;6.2;4.9;3.8;3.3;4.5;3.0;2.5
2013-08-16;27.7;24.5;17.9;7.5;5.0;3.7;3.7;3.6;3.5;2.8
2013-06-26;28.5;24.1;18.1;7.0;6.7;3.5;4.4;2.3;2.8;2.6
2012-08-23;33.4;28.2;17.3;4.9;3.8;4.8;3.6;0.0;1.9;3.0
