Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2008-01-21;28.4;20.6;24.7;5.6;6.1;6.7;5.2;0.0;1.6;0.0
2008-02-20;27.7;18.3;23.7;5.2;8.3;7.8;6.2;0.0;1.3;0.0
2008-03-07;30.6;18.5;22.0;7.9;5.9;6.3;6.4;0.0;1.0;0.0
2008-04-25;26.2;20.3;26.7;6.1;5.5;6.3;5.9;0.0;1.8;0.0
2008-05-31;26.7;19.2;27.8;5.5;5.0;6.5;5.5;0.0;1.8;0.0
2008-07-01;25.7;20.7;29.7;5.9;4.5;6.0;4.6;0.0;1.5;0.0
2008-08-19;26.3;18.0;29.7;6.0;5.4;5.9;5.7;0.0;1.9;0.0
2008-09-05;28.8;18.5;27.9;5.4;5.3;5.2;5.8;0.0;2.1;0.0
2008-10-13;31.0;19.5;24.9;5.5;5.3;5.8;4.7;0.0;1.1;0.0
2008-12-11;30.3;19.2;22.6;6.6;5.8;6.7;4.9;0.0;0.0;0.0
2009-01-22;33.7;17.2;20.3;6.0;7.4;8.1;4.3;0.0;0.0;0.0
2009-02-15;33.9;18.7;21.9;5.5;6.1;5.6;4.5;0.0;0.0;0.0
2009-03-20;32.2;13.4;27.2;6.9;6.6;6.5;5.0;0.0;0.0;0.0
2009-04-17;29.1;17.6;25.8;7.2;5.1;6.0;5.2;0.0;0.0;0.0
2009-05-15;33.3;15.9;25.9;6.0;6.0;6.5;3.7;0.0;0.0;0.0
2009-06-28;32.3;13.2;26.7;6.2;6.2;8.6;4.1;0.0;0.0;0.0
2009-08-06;32.7;15.0;24.3;7.3;6.5;6.2;4.8;0.0;0.0;0.0
2009-08-12;32.1;14.9;25.4;6.3;7.1;5.8;4.7;0.0;0.0;0.0
2009-08-19;30.4;16.4;25.4;6.6;6.9;6.1;6.1;0.0;0.0;0.0
2009-08-26;32.9;18.1;21.8;8.4;6.4;4.9;4.2;0.0;0.0;0.0
2009-09-01;31.2;16.9;23.4;6.9;7.1;6.4;5.0;0.0;0.0;0.0
2009-09-03;29.1;18.1;21.9;7.7;6.6;6.7;5.5;0.0;0.0;0.0
2009-09-07;32.4;16.8;23.7;5.7;6.4;5.8;5.2;0.0;0.0;0.0
2009-09-09;32.0;17.5;21.3;6.6;6.3;6.2;6.4;0.0;0.0;0.0
2009-09-11;34.8;17.6;20.9;6.9;5.6;7.0;4.4;0.0;0.0;0.0
2009-09-13;32.2;17.5;21.4;6.9;6.9;6.4;5.4;0.0;0.0;0.0
2009-11-26;30.5;21.8;19.4;6.0;7.5;7.3;4.2;0.0;1.9;0.0
2010-01-21;31.5;23.2;22.0;6.5;5.5;5.1;3.9;0.0;1.6;0.0
2010-02-11;32.1;23.1;23.9;5.4;4.2;4.8;3.7;0.0;1.6;0.0
