Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2008-01-30;28.0;18.8;20.6;10.1;8.0;5.5;6.0;0.0;2.4;0.0
2008-02-24;31.4;18.4;20.3;7.9;6.6;6.5;6.6;0.0;0.8;0.0
2008-03-19;27.6;22.6;21.6;5.6;7.0;6.9;7.4;0.0;0.6;0.0
2008-04-26;29.0;18.8;21.1;6.9;7.0;7.1;7.2;0.0;1.4;0.0
2008-05-26;26.8;18.8;21.8;8.2;7.9;6.5;6.6;0.0;2.5;0.0
2008-06-23;26.8;19.7;23.4;7.1;6.3;7.0;6.0;0.0;2.0;0.0
2008-08-31;28.2;17.3;23.3;9.2;7.1;5.7;5.2;0.0;2.0;0.0
2008-09-28;30.0;15.7;27.9;6.1;5.1;5.9;7.4;0.0;1.0;0.0
2008-10-25;31.1;17.0;21.9;11.0;5.7;5.8;4.4;0.0;1.4;0.0
2008-11-22;32.0;17.7;20.3;6.3;6.8;6.6;7.1;0.0;2.3;0.0
2008-12-21;31.1;15.2;20.9;9.7;6.8;6.2;7.0;0.0;0.0;0.0
2009-01-25;34.5;16.6;19.5;9.2;5.5;5.2;5.4;0.0;0.0;0.0
2009-02-22;35.1;15.6;20.8;8.4;4.7;5.9;6.8;0.0;0.0;0.0
2009-03-21;36.2;11.5;23.7;9.9;5.5;4.7;5.0;0.0;0.0;0.0
2009-04-25;35.2;14.0;25.2;6.4;6.0;7.3;3.9;0.0;0.0;0.0
2009-05-30;32.6;14.5;20.6;11.1;5.3;5.9;5.4;0.0;0.0;0.0
2009-06-28;33.0;14.4;22.0;9.9;6.8;6.1;5.2;0.0;0.0;0.0
2009-08-29;32.3;15.0;22.1;10.4;5.7;5.7;4.7;0.0;0.0;0.0
2009-09-05;32.8;13.4;22.2;7.9;7.5;6.6;4.8;0.0;0.0;0.0
2009-09-12;33.8;14.5;21.4;9.1;5.9;6.9;4.7;0.0;0.0;0.0
2009-10-31;36.4;18.7;22.9;5.2;5.1;5.1;4.1;0.0;0.0;0.0
2009-11-28;32.9;21.1;22.8;6.5;5.5;5.4;3.8;0.0;1.1;0.0
2009-12-20;31.8;21.8;21.5;8.1;5.1;5.1;4.9;0.0;1.3;0.0
2010-01-31;32.5;21.9;22.6;6.9;5.2;5.7;3.9;0.0;0.8;0.0
2010-03-01;32.4;20.2;23.2;6.1;5.2;6.4;4.1;0.0;1.1;0.0
2010-04-05;31.4;25.0;23.1;5.3;5.1;4.4;3.9;0.0;1.2;0.0
2010-05-02;32.4;23.9;21.9;5.1;5.6;4.7;3.6;0.0;1.4;1.4
2010-05-30;31.3;22.5;22.1;6.5;5.7;4.8;5.2;0.0;0.7;1.2
2010-06-26;28.0;27.3;23.0;6.3;4.5;5.1;3.8;0.0;1.5;0.5
2010-08-30;26.1;29.6;22.3;6.0;5.2;4.9;3.2;0.0;1.6;1.0
2010-10-02;27.8;26.9;24.3;5.0;4.2;3.2;4.2;0.0;1.7;2.7
2010-10-30;32.1;25.5;21.7;5.0;4.4;3.9;4.8;0.0;1.3;1.3
2010-11-27;31.2;24.4;22.6;4.1;4.6;6.2;4.3;0.0;1.7;1.3
2010-12-20;26.0;27.3;23.8;5.0;5.8;4.7;4.0;0.0;1.8;1.6
2011-01-31;30.8;26.1;20.7;5.4;5.2;5.0;4.2;0.0;1.3;1.4
2011-02-28;29.0;27.1;21.7;5.1;5.4;4.8;4.8;0.0;1.7;0.4
2011-04-02;27.4;29.5;18.2;6.2;4.9;4.8;5.5;0.0;1.5;2.1
2011-05-02;31.7;25.4;18.4;5.2;4.8;4.9;6.0;0.0;1.6;2.0
2011-05-28;32.3;28.1;16.3;5.3;5.0;5.2;5.2;0.0;1.5;1.3
2011-06-26;29.6;28.5;19.5;5.3;4.7;5.8;4.0;0.0;1.1;1.5
2011-07-31;41.7;23.7;16.0;4.5;3.8;4.4;3.8;0.0;0.0;0.0
2011-08-27;36.8;22.7;16.9;4.7;3.9;6.2;5.2;0.0;1.3;2.3
2011-10-03;34.6;25.8;15.3;4.8;4.9;5.2;4.6;0.0;2.5;2.1
2011-10-29;34.2;27.6;15.6;4.7;6.2;4.8;5.1;0.0;1.2;0.6
2011-11-26;32.2;30.4;14.0;4.8;6.4;5.0;4.6;0.0;1.3;1.6
2011-12-23;31.2;32.7;15.1;4.2;4.4;5.4;4.4;0.0;1.3;1.3
2012-01-29;33.4;29.1;13.8;5.0;5.1;4.9;5.5;0.0;2.3;0.9
2012-03-03;33.8;27.5;17.6;4.1;5.2;5.3;4.2;0.0;0.7;1.6
2012-03-31;31.3;26.6;17.5;4.8;5.9;5.4;4.6;0.0;1.0;3.0
2012-04-28;31.9;27.9;18.7;6.3;4.0;4.3;4.7;0.0;1.0;1.4
2012-05-29;30.2;32.0;16.2;4.0;3.4;5.2;4.9;0.0;1.3;2.9
2012-06-24;28.0;33.9;14.7;5.3;5.5;4.1;4.5;0.0;2.3;1.8
2012-08-27;28.2;31.5;17.3;4.0;5.1;5.5;4.9;0.0;1.7;1.9
2012-09-29;30.6;31.6;17.8;3.0;5.2;5.1;3.0;0.0;2.2;1.6
2012-10-28;28.8;33.0;17.5;5.0;4.3;5.3;3.8;0.0;1.5;1.9
2012-11-24;29.9;31.6;15.4;3.9;4.9;5.2;6.1;0.0;1.5;1.5
2012-12-22;26.6;33.1;14.1;5.9;4.9;5.1;6.3;0.0;2.5;1.4
2013-01-26;29.5;34.3;14.8;3.9;4.6;5.2;4.1;0.0;1.6;2.0
2013-02-23;29.3;32.1;17.1;5.5;4.6;4.5;3.1;0.0;1.9;1.8
2013-03-24;27.5;35.1;15.2;4.6;5.5;4.2;5.1;0.0;0.8;2.1
2013-04-27;28.0;32.5;13.7;5.7;4.9;4.7;5.4;0.0;2.0;3.2
2013-05-25;27.9;35.4;13.1;5.6;4.7;4.4;5.6;0.0;1.3;2.1
2013-06-22;31.3;32.5;13.3;4.4;4.5;5.4;3.6;0.0;1.2;3.7
2013-08-17;32.5;27.5;14.8;4.3;4.8;5.1;4.8;2.9;1.2;2.0
2013-08-24;29.7;29.6;13.0;4.3;5.6;6.0;4.1;3.9;2.1;1.7
2013-08-31;28.5;28.7;15.1;5.4;4.3;5.9;6.3;2.9;1.7;1.2
2013-09-07;29.4;25.9;16.4;5.8;4.9;5.1;4.5;4.1;2.3;1.7
2013-09-28;30.0;27.9;14.5;3.8;5.1;6.5;5.6;3.6;2.2;1.1
2013-10-27;32.0;28.6;14.9;4.2;4.4;5.4;5.5;2.3;1.7;0.8
2013-11-25;30.8;30.1;13.5;4.4;4.8;5.2;6.0;3.1;0.9;1.0
2013-12-21;32.1;29.9;13.2;4.6;5.0;4.6;5.1;2.7;1.6;1.3
2014-01-26;34.6;28.0;14.2;3.5;4.9;5.2;4.5;2.4;1.8;0.9
2014-03-02;34.4;26.5;15.0;3.3;4.7;5.3;5.2;3.0;2.0;0.6
2014-03-30;33.7;27.6;12.8;5.0;4.9;4.6;5.5;3.1;1.6;1.3
2014-04-28;32.8;27.9;13.2;4.8;4.6;5.6;6.3;0.0;2.1;2.9
2014-05-24;36.0;25.6;14.5;3.7;5.1;4.9;4.6;2.8;2.0;0.9
2014-06-21;35.5;28.5;12.1;3.1;5.5;4.2;4.7;4.1;1.4;0.9
2014-08-23;32.8;30.9;11.0;3.8;4.5;4.5;5.4;4.2;1.4;1.5
2014-09-27;34.0;28.5;13.0;4.0;4.7;4.9;4.4;2.6;1.6;1.8
2014-10-27;37.4;25.9;12.2;3.3;5.6;4.5;5.4;3.8;1.4;0.6
2014-11-21;41.4;23.0;13.0;3.8;5.1;4.9;4.4;2.9;0.7;0.9
2014-12-20;39.8;23.4;12.0;3.9;5.4;5.9;4.8;3.0;0.9;0.9
2015-01-23;42.4;22.7;11.2;3.9;5.0;5.6;4.2;3.2;1.5;0.9
2015-03-02;41.3;21.5;11.3;3.7;5.5;5.6;4.2;3.7;2.7;0.4
2015-03-30;41.1;23.5;9.9;3.7;7.3;4.6;4.1;3.0;2.2;0.6
2015-04-25;38.8;22.3;13.0;4.0;5.1;5.4;5.0;3.6;1.9;1.0
2015-05-26;38.6;23.2;12.8;3.2;6.2;4.9;3.6;4.9;1.6;0.9
2015-06-22;36.8;21.4;14.3;4.0;5.9;5.6;4.0;4.5;2.2;1.4
2015-08-23;38.3;24.0;13.0;4.8;4.2;4.6;5.2;4.0;1.4;0.5
2015-09-28;37.9;23.2;11.3;3.8;6.6;5.7;4.9;3.5;2.4;0.6
2015-10-23;35.5;23.3;10.2;5.9;7.7;5.4;4.8;3.0;3.2;1.0
2015-11-19;36.1;20.0;17.5;3.8;6.2;4.4;4.5;4.3;2.7;0.0
2015-12-18;34.0;20.9;16.9;3.6;7.6;4.5;4.0;5.4;1.9;1.0
2016-01-21;37.1;22.6;15.6;3.3;6.1;4.7;4.9;2.6;2.9;0.0
2016-02-18;33.8;21.4;18.2;4.2;5.9;3.8;4.5;4.9;2.5;0.7
2016-03-17;32.5;26.3;14.6;3.0;7.1;4.9;4.9;3.2;3.0;0.5
2016-04-22;32.8;23.1;15.8;5.9;5.9;6.2;4.7;3.2;2.0;0.4
2016-05-27;34.8;22.6;12.6;4.5;6.5;5.5;5.1;3.7;2.8;1.8
2016-06-26;30.7;25.3;16.2;3.7;6.7;5.0;4.3;3.5;2.0;2.5
2016-08-29;34.1;24.3;16.4;4.4;6.3;4.4;3.8;3.5;1.5;1.4
2016-09-26;34.4;23.7;14.4;5.4;7.9;4.3;4.3;3.2;2.0;0.3
2016-10-24;36.3;25.3;12.8;4.3;6.4;4.7;4.5;2.6;2.3;0.7
2016-11-19;35.6;24.8;14.1;3.7;6.3;4.0;4.5;3.5;3.1;0.4
2016-12-16;37.8;23.3;13.0;3.4;6.8;4.0;4.8;2.9;1.5;2.1
2017-01-28;35.3;22.9;14.8;5.0;8.0;4.9;3.7;2.9;1.5;1.0
2017-02-24;31.6;23.8;14.1;3.8;11.4;5.2;3.5;2.2;3.0;1.2
2017-03-31;30.9;25.3;10.6;3.9;13.4;5.3;4.2;2.4;2.5;1.6
2017-04-28;33.5;21.9;12.9;4.5;11.1;4.9;4.3;2.4;3.9;0.6
2017-05-26;31.2;24.2;14.3;3.9;9.2;5.2;4.3;2.7;2.5;2.5
2017-06-23;31.7;23.1;12.8;4.7;12.2;3.9;4.0;3.2;3.3;1.2
