Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2008-01-24;28.0;14.6;24.0;7.1;6.0;7.1;9.5;0.0;2.0;0.0
2008-02-29;28.5;18.0;25.2;7.2;5.2;6.4;6.4;0.0;0.0;0.0
2008-03-26;28.5;17.3;25.6;7.0;4.8;6.0;6.6;0.0;0.0;0.0
2008-04-18;28.9;12.6;26.8;7.4;6.1;8.3;7.2;0.0;0.0;0.0
2008-05-23;30.3;16.8;24.7;8.3;6.3;6.1;5.3;0.0;0.0;0.0
2008-06-21;27.3;17.0;30.1;5.7;5.1;5.6;5.3;0.0;2.0;0.0
2008-07-18;26.5;16.7;29.7;7.2;3.9;6.3;5.9;0.0;2.5;0.0
2008-08-22;26.7;12.7;31.9;7.5;5.1;6.0;6.9;0.0;1.1;0.0
2008-09-19;29.4;14.8;28.2;7.2;5.4;5.8;5.5;0.0;0.0;0.0
2008-10-17;30.9;15.9;26.8;6.1;6.3;5.7;5.7;0.0;0.0;0.0
2008-11-21;30.4;16.4;25.4;8.4;5.0;6.9;4.9;0.0;0.0;0.0
2008-12-13;31.5;19.0;23.3;7.7;5.4;6.3;4.5;0.0;0.0;0.0
2008-12-24;31.0;16.5;25.0;7.5;5.6;6.4;5.2;0.0;0.0;0.0
2009-01-10;34.8;16.0;22.4;7.5;5.1;5.5;5.9;0.0;0.0;0.0
2009-01-23;35.3;14.6;23.1;6.7;6.2;5.9;4.7;0.0;0.0;0.0
2009-02-14;34.0;14.5;24.0;7.1;5.7;6.4;5.4;0.0;0.0;0.0
2009-02-27;33.0;12.6;29.4;7.1;4.3;5.2;5.9;0.0;0.0;0.0
2009-03-09;31.0;14.7;28.0;6.9;4.6;6.9;4.7;0.0;0.0;0.0
2009-03-27;31.7;13.3;29.7;6.9;5.0;7.3;3.7;0.0;0.0;0.0
2009-04-18;33.6;14.1;27.7;5.5;4.7;6.6;5.3;0.0;0.0;0.0
2009-04-24;34.5;10.8;30.3;6.5;6.5;4.8;4.2;0.0;0.0;0.0
2009-05-09;31.3;13.9;26.9;8.2;6.1;6.5;4.8;0.0;0.0;0.0
2009-05-15;35.4;14.1;26.0;7.3;4.7;6.6;4.1;0.0;0.0;0.0
2009-06-08;34.1;12.7;25.5;7.1;4.9;6.0;6.4;0.0;0.0;0.0
