Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2008-01-21;30.7;18.3;24.2;7.1;5.4;6.2;5.4;0.0;1.1;0.0
2008-02-17;29.0;16.7;25.5;7.1;6.6;6.1;7.0;0.0;0.8;0.0
2008-03-14;29.5;17.3;24.4;7.5;6.2;5.6;6.6;0.0;1.1;0.0
2008-04-12;31.6;15.7;25.3;7.5;5.5;5.7;6.4;0.0;0.9;0.0
2008-05-09;28.8;19.0;24.8;7.0;4.7;6.8;7.0;0.0;1.3;0.0
2008-06-21;26.4;17.8;30.7;6.5;5.3;4.7;5.6;0.0;1.5;0.0
2008-08-22;28.9;17.1;30.7;5.6;5.4;5.0;5.9;0.0;1.1;0.0
2008-09-19;27.9;14.6;31.7;6.1;5.6;5.8;5.9;0.0;1.7;0.0
2008-10-17;31.5;16.0;25.1;7.4;4.2;6.2;7.7;0.0;1.7;0.0
2008-11-14;30.8;16.5;23.0;7.5;6.2;7.1;5.7;0.0;2.0;0.0
2008-12-13;32.5;18.2;21.5;7.2;5.9;6.7;6.1;0.0;0.0;0.0
2009-01-16;35.2;17.7;21.7;7.3;4.5;5.9;4.7;0.0;0.0;0.0
2009-02-13;36.2;14.4;24.0;7.9;5.0;5.5;5.3;0.0;0.0;0.0
2009-03-13;32.8;14.2;25.4;6.0;5.9;6.1;6.5;0.0;0.0;0.0
2009-04-24;33.3;15.6;26.0;6.4;5.6;5.3;5.1;0.0;0.0;0.0
2009-05-15;35.8;15.2;24.0;5.8;4.7;5.3;5.9;0.0;0.0;0.0
2009-06-12;35.4;13.5;26.1;5.5;4.3;5.8;5.6;0.0;0.0;0.0
2009-08-13;32.8;16.4;24.5;6.8;5.2;6.8;5.3;0.0;0.0;0.0
2009-08-21;32.0;14.8;24.4;7.4;6.6;5.8;6.2;0.0;0.0;0.0
2009-08-28;34.0;13.3;25.6;7.0;5.2;5.9;5.0;0.0;0.0;0.0
2009-09-04;31.5;12.6;25.6;7.8;7.9;6.7;5.7;0.0;0.0;0.0
2009-09-10;34.9;17.2;21.7;7.4;6.3;6.3;4.7;0.0;0.0;0.0
2009-09-13;33.9;17.6;20.8;6.6;6.6;6.3;4.7;0.0;0.0;0.0
2009-10-23;35.8;19.7;21.3;6.5;5.5;4.4;4.1;0.0;0.0;0.0
2009-11-13;33.6;20.2;21.3;6.1;6.2;5.5;4.0;0.0;2.2;0.0
2009-12-12;32.6;20.7;22.2;6.7;5.4;5.7;4.1;0.0;1.9;0.0
2010-01-16;33.6;23.3;21.2;6.2;5.3;5.5;3.9;0.0;0.7;0.0
2010-02-12;31.9;23.5;23.0;6.6;5.0;3.7;3.5;0.0;1.6;0.0
2010-03-12;33.0;22.9;21.4;6.0;5.0;5.0;3.0;0.0;1.7;0.0
2010-04-16;30.2;22.1;25.4;7.0;4.7;4.3;3.9;0.0;1.2;0.0
2010-05-15;31.2;23.7;21.5;6.2;5.6;4.9;4.9;0.0;1.0;1.0
2010-06-11;30.6;24.9;20.1;6.2;7.0;4.7;3.8;0.0;1.7;1.0
2010-08-20;26.1;28.4;20.8;6.1;6.5;6.2;3.6;0.0;1.8;0.5
2010-09-17;28.4;28.2;19.5;6.0;6.2;4.4;5.2;0.0;1.7;0.5
2010-10-15;31.6;24.5;22.3;5.4;4.9;4.8;3.4;0.0;1.2;1.9
2010-11-12;27.8;24.4;25.0;5.9;5.2;4.7;4.6;0.0;1.3;1.1
2010-12-15;26.4;27.9;22.7;6.0;5.7;4.6;3.7;0.0;1.1;1.9
2011-01-15;27.3;28.5;20.8;5.7;4.9;5.0;4.5;0.0;0.7;2.6
2011-02-14;29.2;23.1;23.8;5.4;4.7;6.0;4.8;0.0;1.6;1.4
2011-03-14;29.0;28.9;20.5;5.3;5.4;4.7;3.8;0.0;1.4;1.0
