Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2008-05-16;29.8;17.0;28.3;7.4;4.7;5.2;5.4;0.0;0.0;0.0
2008-06-13;23.9;17.9;29.6;7.1;5.2;6.5;5.5;0.0;1.6;0.0
2008-07-11;26.5;17.1;30.3;6.4;5.4;6.2;5.6;0.0;1.4;0.0
2008-08-14;24.2;16.6;34.0;5.6;4.8;5.6;7.0;0.0;1.8;0.0
2008-09-12;28.6;15.5;31.3;5.8;4.5;5.7;5.5;0.0;1.6;0.0
2008-10-10;29.8;14.2;30.7;7.9;5.0;4.7;4.8;0.0;0.0;0.0
2008-11-14;35.5;14.7;24.9;7.3;4.2;5.2;5.9;0.0;1.3;0.0
2008-12-15;29.9;16.8;24.0;8.8;5.9;6.2;5.8;0.0;0.0;0.0
2009-01-15;32.7;15.2;24.6;9.0;5.5;6.3;4.3;0.0;0.0;0.0
2009-02-19;32.6;14.0;25.8;7.9;3.5;7.4;6.4;0.0;0.0;0.0
2009-03-19;32.9;14.7;26.9;6.1;5.7;6.5;4.5;0.0;0.0;0.0
2009-04-17;29.7;13.9;28.4;9.0;5.3;5.7;5.3;0.0;0.0;0.0
2009-05-15;31.5;13.2;30.3;6.3;4.0;5.8;5.8;0.0;0.0;0.0
2009-06-18;33.7;12.1;26.1;6.6;6.0;6.0;6.4;0.0;0.0;0.0
2009-07-17;34.7;12.5;29.1;7.8;5.1;5.2;3.7;0.0;0.0;0.0
2009-08-14;31.0;13.8;27.6;7.3;5.0;5.4;5.7;0.0;0.0;0.0
2009-09-14;32.7;14.1;22.1;7.3;6.5;6.4;4.3;0.0;0.0;0.0
2009-11-12;35.6;19.2;22.3;6.7;5.5;4.3;4.2;0.0;1.1;0.0
2009-12-17;34.1;20.9;22.7;6.2;6.1;5.4;3.4;0.0;1.3;0.0
2010-02-19;35.5;21.0;21.5;6.5;5.3;4.3;3.8;0.0;1.2;0.0
2010-03-13;31.3;19.8;23.5;7.8;4.8;5.0;4.0;0.0;2.5;0.0
2010-04-23;29.8;22.4;25.6;5.5;4.1;6.2;4.3;0.0;1.0;1.0
2010-05-15;29.7;24.0;23.6;5.9;5.9;4.8;3.8;0.0;0.9;1.4
2010-06-12;29.6;23.9;23.7;6.2;4.8;6.2;2.6;0.0;1.4;1.7
2010-07-10;30.8;23.5;23.3;6.7;4.9;5.5;3.1;0.0;1.0;1.7
2010-08-12;27.2;25.7;24.0;4.6;4.8;5.3;5.1;0.0;2.0;1.3
2010-09-10;29.2;27.6;22.5;5.8;4.3;4.3;3.5;0.0;1.4;0.7
2010-10-22;26.6;28.1;24.8;5.4;4.4;4.2;3.9;0.0;1.6;0.4
2010-11-19;29.5;24.8;24.7;6.2;4.8;5.0;3.3;0.0;1.0;0.7
2010-12-18;26.9;23.9;26.6;6.0;5.9;3.8;4.5;0.0;1.1;1.3
2011-01-21;28.8;25.9;23.7;4.5;4.1;4.0;6.3;0.0;0.9;1.8
2011-02-11;29.4;27.3;20.9;5.2;5.6;5.6;4.0;0.0;1.1;0.8
2011-03-12;28.8;24.0;26.8;5.4;4.1;4.3;3.4;0.0;1.9;1.3
2011-04-15;26.6;28.8;19.5;4.2;5.2;5.9;7.0;0.0;0.8;2.2
2011-05-13;31.0;24.7;22.2;5.3;4.2;6.2;4.5;0.0;1.5;0.5
2011-06-15;27.1;30.1;19.4;5.3;3.8;6.4;4.8;0.0;2.1;1.0
2011-07-08;28.3;27.8;22.7;5.7;4.5;4.3;4.4;0.0;1.0;1.2
2011-08-18;39.1;22.2;17.5;4.9;4.8;5.8;3.0;0.0;1.7;1.0
2011-10-21;33.7;29.6;14.9;4.5;4.5;5.4;3.8;0.0;0.8;2.8
2011-11-18;31.9;30.0;17.3;3.7;4.6;5.3;3.8;0.0;1.5;1.8
2011-12-10;34.8;26.7;16.6;5.0;4.6;5.3;4.4;0.0;1.5;1.0
2012-01-20;34.2;27.7;15.9;3.8;5.5;4.6;5.2;0.0;2.1;1.1
2012-02-23;33.0;25.3;18.1;4.1;5.7;6.1;4.5;0.0;1.2;2.6
2012-03-16;33.1;23.1;19.7;4.7;5.0;6.5;4.6;0.0;1.7;1.5
2012-04-13;32.8;24.9;19.5;3.8;6.0;6.1;4.6;0.0;1.5;0.9
2012-05-19;30.0;32.0;13.2;5.0;5.6;4.5;5.5;0.0;1.9;2.3
2012-06-16;32.1;30.1;17.5;5.3;4.1;3.7;4.4;0.0;0.9;1.8
2012-07-21;29.2;32.5;17.5;4.6;4.5;4.9;4.2;0.0;0.9;1.0
2012-08-18;30.5;30.3;19.0;3.8;4.1;4.7;4.5;0.0;1.4;1.8
2012-09-13;28.1;32.2;18.3;4.2;3.9;5.8;4.3;0.0;1.1;2.1
2012-10-19;26.4;31.4;21.1;3.8;4.0;4.9;5.2;0.0;1.2;1.9
2012-11-16;28.3;28.0;20.4;4.5;4.6;4.9;6.0;0.0;1.6;1.6
2012-12-14;27.4;30.5;20.1;5.0;3.8;4.7;4.4;0.0;2.4;1.7
2013-01-24;29.6;29.5;20.0;3.9;4.9;4.9;4.7;1.1;0.9;0.6
2013-02-22;28.7;30.4;19.1;4.9;4.1;3.8;5.0;1.0;0.8;2.1
2013-03-21;31.7;26.5;19.3;4.2;5.8;5.9;3.9;0.5;1.7;0.9
2013-04-26;29.6;32.5;15.7;4.5;4.6;4.9;4.4;1.7;0.7;1.3
2013-05-11;30.2;28.7;15.1;4.6;5.2;6.0;5.2;1.8;2.1;1.2
2013-06-22;29.8;29.1;17.0;5.1;5.7;4.2;4.3;1.6;1.4;1.7
2013-08-23;28.5;28.1;16.0;5.4;5.5;4.7;5.4;3.6;1.4;1.4
2013-09-05;30.4;29.3;14.5;4.6;4.4;5.0;6.1;3.0;1.3;1.3
2013-09-20;31.5;27.6;14.3;4.6;5.3;5.4;5.8;2.8;1.2;1.6
2013-10-26;29.7;30.6;13.7;3.6;5.0;5.6;5.7;2.8;0.9;2.3
2013-11-23;34.5;27.0;14.3;3.5;4.3;6.2;4.8;3.0;1.3;1.1
2013-12-23;34.0;27.2;13.9;3.9;4.9;4.4;5.6;3.0;1.1;1.3
2014-01-31;35.3;28.4;15.5;3.1;4.3;4.7;3.8;3.0;0.9;1.0
2014-02-28;33.7;29.9;12.8;4.0;5.1;5.1;4.3;2.2;1.0;1.8
2014-03-28;35.3;26.2;15.1;3.9;5.1;5.1;4.3;2.6;1.0;1.4
2014-05-02;31.7;28.9;13.2;3.7;5.1;5.4;5.9;3.7;0.7;1.7
2014-05-31;34.9;26.2;13.1;3.3;5.3;5.4;5.9;2.3;1.5;2.1
2014-06-26;34.5;25.4;15.5;3.1;4.8;5.4;4.0;3.5;1.3;2.5
2014-08-29;33.6;28.5;13.8;3.5;6.3;4.2;4.5;3.4;0.7;1.3
2014-09-27;34.1;25.8;13.7;4.2;5.6;5.5;4.5;3.8;1.5;1.3
2014-10-25;39.8;25.5;12.2;3.1;5.1;4.5;3.6;3.3;0.9;2.1
2014-11-21;41.2;23.3;10.7;3.5;6.1;4.6;3.8;3.9;2.2;0.9
2014-12-20;42.3;21.2;11.4;4.3;5.7;5.2;5.3;2.6;1.3;0.6
2015-01-30;42.7;23.4;10.2;3.3;4.8;5.2;4.6;2.7;1.0;2.5
2015-02-25;43.4;21.4;9.2;4.3;5.8;5.4;4.6;3.6;1.0;1.5
2015-03-26;42.5;23.6;9.1;3.3;6.3;6.6;3.7;3.1;1.2;0.7
2015-05-01;37.4;26.1;11.3;3.7;5.0;5.6;4.9;3.0;1.2;1.8
2015-06-02;40.3;22.1;11.3;4.3;5.5;5.3;4.0;3.9;1.5;1.8
2015-06-27;38.1;22.0;16.4;2.8;5.7;5.3;3.9;3.9;1.8;0.3
2015-08-27;34.2;20.6;14.3;4.6;6.3;6.1;3.8;6.0;1.6;2.3
2015-09-26;36.7;21.6;12.5;4.0;5.5;5.6;5.0;5.9;1.4;1.9
2015-10-23;37.6;22.5;12.3;3.3;7.2;5.0;5.6;4.5;1.1;1.0
2015-11-21;34.9;20.3;18.2;3.0;7.0;5.2;3.6;4.7;1.6;1.4
2015-12-16;35.6;20.6;16.6;3.6;7.1;4.3;4.0;4.4;2.2;1.6
2016-01-28;32.5;24.1;17.2;3.8;6.4;4.3;3.4;4.4;1.5;2.3
2016-02-26;33.2;23.8;17.0;4.9;5.1;5.1;4.8;2.6;1.5;2.1
2016-03-30;32.3;24.3;17.6;3.4;5.8;5.6;4.7;3.8;1.6;1.1
2016-04-29;33.4;23.5;14.7;4.4;6.9;6.1;5.2;2.3;1.7;1.8
2016-05-27;33.8;23.3;17.6;4.1;7.5;4.4;3.7;3.6;1.1;0.0
2016-06-28;32.3;23.2;17.5;3.3;5.9;6.1;4.3;4.5;1.4;1.5
2016-08-29;36.8;21.6;15.2;3.0;7.5;4.5;4.7;3.3;1.7;1.8
2016-09-23;38.4;22.9;14.7;4.4;7.4;4.4;3.7;1.8;1.1;1.2
2016-10-20;36.2;25.8;13.3;3.2;7.2;4.7;3.0;2.6;2.4;1.5
2016-11-18;38.4;23.5;10.4;3.8;7.7;5.9;3.5;3.4;1.3;2.1
2016-12-16;36.8;23.3;13.7;3.6;8.0;4.8;3.5;2.8;1.9;1.6
2017-01-27;35.7;22.8;12.1;5.1;9.3;5.4;4.3;1.6;2.7;1.0
2017-02-23;30.2;23.7;14.1;3.9;11.4;5.3;5.3;2.2;1.7;2.1
2017-03-23;34.1;22.7;10.8;4.2;12.3;5.0;3.9;3.6;2.8;0.7
2017-04-29;32.8;25.1;11.4;4.1;13.1;4.5;3.1;2.5;2.0;1.3
2017-05-26;30.9;24.1;11.0;4.3;15.3;3.8;3.2;3.1;2.8;1.6
2017-06-22;30.3;24.2;11.6;4.3;11.3;4.8;3.6;3.9;3.3;2.8
