Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-07-09;31.5;22.9;13.4;4.4;11.8;4.6;3.4;3.5;2.4;2.0
2017-07-08;31.4;23.2;13.8;4.3;11.6;4.6;3.4;3.4;2.3;1.9
2017-06-29;31.3;23.3;13.5;4.3;12.1;4.5;3.4;3.3;2.5;1.9
2017-06-23;31.5;23.3;13.1;4.3;12.2;4.6;3.4;3.1;2.6;2.0
2017-06-22;31.4;23.4;13.2;4.2;12.1;4.7;3.3;3.1;2.5;2.1
2017-06-20;31.6;23.2;13.5;4.2;12.3;4.7;3.2;3.0;2.4;2.0
2017-06-16;31.5;23.4;13.4;4.3;11.9;4.7;3.3;3.1;2.4;2.0
2017-06-15;31.5;23.3;13.3;4.2;12.2;4.7;3.3;3.2;2.4;2.0
2017-06-12;31.2;23.3;13.6;4.3;12.1;4.6;3.3;3.0;2.5;2.1
2017-06-09;31.8;22.8;13.4;4.2;12.1;4.6;3.3;3.0;2.5;2.2
2017-06-08;31.7;23.4;13.6;4.1;12.2;4.6;3.4;2.8;2.3;1.9
2017-06-01;31.7;23.4;13.6;4.1;12.2;4.6;3.4;2.8;2.3;1.9
2017-05-31;31.8;23.5;13.2;4.2;12.2;4.6;3.4;2.8;2.4;1.8
2017-05-26;31.5;23.5;13.0;4.2;12.3;4.7;3.4;2.8;2.7;1.8
2017-05-26;31.5;23.5;13.0;4.2;12.3;4.7;3.4;2.8;2.7;1.8
2017-05-19;31.8;23.2;13.2;4.3;12.4;4.8;3.2;2.7;2.7;1.7
2017-05-11;32.3;23.5;12.8;4.3;12.4;4.7;3.3;2.7;2.4;1.6
2017-05-11;32.3;23.5;12.8;4.3;12.4;4.7;3.3;2.7;2.4;1.6
2017-05-06;32.4;23.4;12.4;4.4;12.1;4.9;3.4;2.8;2.6;1.6
2017-05-06;32.4;23.4;12.4;4.4;12.1;4.9;3.4;2.8;2.6;1.6
2017-05-05;32.1;23.7;12.5;4.5;12.2;4.7;3.4;2.7;2.6;1.6
2017-04-30;32.0;23.5;12.7;4.5;12.0;4.8;3.6;2.6;2.5;1.7
2017-04-29;32.0;23.4;12.6;4.5;12.2;4.8;3.7;2.6;2.5;1.5
2017-04-28;31.9;23.0;12.9;4.6;11.9;4.8;3.9;2.7;2.6;1.6
2017-04-19;31.4;23.4;13.0;4.6;12.2;4.8;3.8;2.7;2.3;1.9
